"What are the steps I need to follow to resubmit my request for brand or OEM approval if it was previously rejected or I received a notification asking for more information?
","Sure, if your request for brand or OEM (Original Equipment Manufacturer) approval was previously rejected on GeM or if you're asked for more information, follow these steps:

1. First, log into your GeM Seller account.
2. Navigate to the section where you have submitted your initial request. This would typically be in the 'My Products' section.
3. Look for the 'Brand Approval' or 'OEM Approval' tab, depending on your initial request.
4. Within this tab, find your initial request and review the rejection reasons or the request for additional information.
5. Amend your initial request based on the feedback you've received. This could involve adding more detailed information, clarifying some points, or perhaps providing additional evidence or documentation.
6. Once you've made the necessary changes, resubmit your request. 

Please ensure that all information is accurate and relevant before submitting your request. The GeM Approval team will review your revised request and if satisfied, will approve your request. If additional issues are found, they may either reject it or request more information again."
"Where can I view the status of my brand or OEM approval requests and any notifications from the approval team?
","You can check the status of your OEM or brand approval requests on the GeM portal itself. After logging into your seller account, navigate to 'My Dashboard'. Then, push the 'Brand & OEM Approvals' tab located under 'My Account' - 'Manage Catalog'.

In the 'Manage Approvals' section, you can view all the pending, approved, and rejected requests. Notifications related to approval status will also be displayed in this section. For any further notification, make sure to keep an eye on the provided email address since the approval team typically communicates via email as well."
"If my request is pending with the admin, what are the possible actions they can take (e.g. reject, request more details, approve)?
","The admin can take the following actions on your pending request:

1. Approve: The admin might give your request the green light if all the required details are found to be in order and fulfilling GeM’s terms & conditions.

2. Reject: If your request does not meet the standards set by GeM or required details are missing, the admin can reject your request outright.

3. Request More Details: If your request appears to be mostly in order, but certain specifics are lacking or unclear, the admin might ask you to provide more details. This is done to obtain a clearer understanding of your request before making a decision.

4. Put On Hold: In certain instances, if the admin needs more time to study certain aspects of your request, they may put your request on hold.

To know the status of your request, kindly log in to your account and check the status or you can contact GeM support for more information."
"If the admin requests additional details, where can I update those details and resubmit my request?
","If the admin requests additional details, you can update those details and resubmit your request through the GeM portal. Login to your seller account on the portal. Navigate to the 'My Profile' section where you can update your details. Once the updates have been made, you can resubmit your request. Do ensure all the information is accurate and complies with the requirements stipulated by the GeM."
"How many attempts do I have to resubmit my request with additional details before it is permanently rejected?
","The GeM typically allows up to 3 attempts for resubmitting the request with additional details. If the request is not approved after these attempts, it may be permanently rejected. Please remember, however, guidelines may vary and it is advised to contact the relevant GeM support for specific situations."
"Is there any indicator of my remaining attempt count so I know if I'm close to a permanent rejection?
","No, the Government e-Marketplace (GeM) does not provide a counter for the number of attempts made by a seller. However, it is important to ensure that any application for selling on the GeM platform is made carefully, ensuring that all required documentation is correct and fully provided. If a registration attempt fails, the reason for the failure will be conveyed, which should then be addressed in the next attempt. Permanent ban from the platform typically happens on serious grounds like fraudulent activities or severe non-compliance."
"If my request for a new brand is rejected, can I request approval for the same brand again in the future?
","Yes, if your initial request for a new brand registration was rejected, you can apply again. However, please ensure that you address the issues that led to the initial rejection and meet all the necessary criteria before reapplying. Make sure to provide all the required details and documents for the successful acceptance of your brand in Government e-Marketplace."
"If my new brand request is rejected, can another seller request approval for that same brand?
","Yes, if your new brand request has been rejected, another seller can certainly request approval for the same brand on GeM. The approval or rejection of brand requests is based on specific criteria and requirements set by GeM and does not restrict other sellers from making a similar request. However, it is important for the seller to ensure that they meet all the requirements to increase their chances of approval."
"If my original brand request was rejected and I try applying for OEM status of that same rejected brand, will I be allowed to proceed?
","As a GeM customer service bot, I can tell you that if your Original Brand Manufacturer (OBM) application was rejected, you may not be eligible to enroll as an Original Equipment Manufacturer (OEM) for the same brand. The rejections generally imply unmet requirements or non-compliance. It's recommended to understand the reasons for your previous rejection and rectify the issues before applying again. However, guidelines and policies can vary, so refer to the GeM portal's specific terms and conditions or contact their support for detailed information."
"What should I do if the system does not allow me to proceed with an OEM request for a previously rejected brand?
","If you are facing issues while trying to proceed with an Original Equipment Manufacturer (OEM) request for a previously rejected brand, you should first carefully review why the brand was rejected earlier. Once you understand and resolve those issues, attempt to register the brand again.

If the system still doesn't allow you do this, it's best to contact the GeM support system:

1. You can call the GeM Support team within operational hours (8 AM to 8 PM).
2. Alternatively, you can raise a ticket through the ""Get Help"" button available on the GeM portal.

It's also important to provide them with all the details including any error messages you are getting to expedite the resolution process."
